Date,Open,High,Low,Close,Volume,Market Cap
05-08-2020,0.300783410792,0.307873504541,0.292720133323,0.303311360721,2048410252.39627,13607350506.206
04-08-2020,0.309935183571,0.31829585391,0.294030077679,0.300492815844,2746437658.85054,13480903122.3439
03-08-2020,0.287490330437,0.318866210726,0.285190043702,0.309940086401,3340814994.36898,13904732686.4277
02-08-2020,0.289742264746,0.322561161911,0.275593349552,0.287062296054,4780736538.24412,12878374454.0189
01-08-2020,0.258903787865,0.295758801782,0.255843862748,0.289528998555,3167874460.87513,12989037257.5679
31-07-2020,0.244649281148,0.25960141756,0.242200220915,0.258903787865,1854522560.13403,11615109241.1737
30-07-2020,0.243254422254,0.248586067425,0.238767531138,0.244522489999,1650758400.14856,10966533743.9463
29-07-2020,0.230148402422,0.249352631527,0.23007852013,0.24309913809,2022835116.30695,10902698156.7182
28-07-2020,0.223889453282,0.233693028007,0.217893665797,0.230276595514,1754695828.2712,10327622850.3795
27-07-2020,0.214948034547,0.227414507633,0.211675760706,0.223671602002,1762737985.01769,10031396993.0843
26-07-2020,0.213994108009,0.224030917722,0.212792311363,0.214981839536,1448138807.2661,9641671805.39032
25-07-2020,0.203959249514,0.216598229655,0.203756888551,0.214102459226,1225769665.74051,9602232677.1391
24-07-2020,0.20781359778,0.208013423332,0.202637279311,0.204048566598,1294356195.1037,9151327924.92827
23-07-2020,0.203330950682,0.209243650734,0.201667493792,0.207577825531,1443659224.26862,9309610859.06666
22-07-2020,0.199028733166,0.203738919918,0.196882691696,0.203342161146,935529987.375753,9112196067.79291
21-07-2020,0.194870998503,0.200471287014,0.194007538672,0.198988466882,928954951.194997,8917097739.29472
20-07-2020,0.199142393783,0.199774831421,0.193704306524,0.195065154685,848780530.814989,8741285749.4312
19-07-2020,0.199404293804,0.201336099239,0.196133451809,0.199134968126,828392852.467972,8813276312.7972
18-07-2020,0.194348999801,0.201602281584,0.193936559855,0.1993410089,870207692.55913,8822395224.91019
17-07-2020,0.194050771238,0.19714268684,0.191723185848,0.194280959524,936113620.467344,8598448553.3298
16-07-2020,0.197021069727,0.197416329661,0.190181129722,0.194047669303,1055841761.77715,8588123640.54278
15-07-2020,0.198774313059,0.199623125992,0.196692805173,0.197110850834,1067413757.16042,8723693327.18806
14-07-2020,0.19849451069,0.199556462961,0.195535732849,0.198809203832,1197284577.63449,8798858700.64759
13-07-2020,0.20053799084,0.205161345819,0.195939739031,0.198575132317,1197056592.68407,8788499209.50415
12-07-2020,0.201216879201,0.203251497804,0.198360554104,0.20053799084,850245454.573376,8875371016.545
11-07-2020,0.198724106396,0.203610495658,0.198640232287,0.201197430732,996288334.282438,8904556377.78301
10-07-2020,0.202841519394,0.202841519394,0.19331788295,0.198652286566,1161794554.69728,8791913887.10469
09-07-2020,0.204597533063,0.210292239931,0.198559758161,0.202909652203,1809158570.63307,8980335539.39705
08-07-2020,0.184814351873,0.205726938661,0.184199514791,0.20469235023,1878269320.94278,9059233838.58622
07-07-2020,0.188566907389,0.189004961075,0.182713144174,0.184787358864,1067033697.85116,8178282639.6918
06-07-2020,0.177016972472,0.189148271479,0.176471152211,0.188566907389,1423923825.64059,8345557156.07596
05-07-2020,0.177913615682,0.178728751151,0.17479023507,0.177016972472,969679447.023358,7834382404.71869
04-07-2020,0.176261767386,0.179678908169,0.176195912103,0.177983880799,1000145449.28859,7877175643.57166
03-07-2020,0.177264591284,0.17844271539,0.175129854541,0.176335689964,976699960.180535,7804230337.27125
02-07-2020,0.177154775862,0.178337960428,0.174233969114,0.177244188332,1053683054.86151,7844438479.62946
01-07-2020,0.175750054876,0.178490555857,0.174702878421,0.176975855399,1115989502.4154,7832562653.37651
30-06-2020,0.177700846802,0.178354597993,0.175004852209,0.175870468496,1010363682.91425,7783640656.90162
29-06-2020,0.177648276869,0.179559454436,0.176242723214,0.177959462798,1164729578.62712,7876094956.47866
28-06-2020,0.176872383031,0.180509710699,0.175249039233,0.177692292015,1139431603.60405,7864270564.43218
27-06-2020,0.183095502137,0.18506388644,0.174489011856,0.176850592161,1142888782.80289,7827018777.58855
26-06-2020,0.183471539954,0.185866707266,0.179897684687,0.18267137973,1269492277.43501,8084634050.71945
25-06-2020,0.184075806559,0.184981572655,0.180956251671,0.183569649345,1055030012.07131,8124389490.93613
24-06-2020,0.188699567267,0.190857322888,0.183049881427,0.184271798756,1138044691.14952,8155465081.67866
23-06-2020,0.189294948567,0.189972560849,0.187062223934,0.188679897278,1093605184.99759,8350557840.39414
22-06-2020,0.185664564113,0.190079722729,0.185593838257,0.189272191859,1209278721.48272,8376771497.64404
21-06-2020,0.188467731521,0.189102528655,0.185500606186,0.185609893015,893641268.535263,8214686194.61586
20-06-2020,0.186789952279,0.18980558023,0.186086188462,0.1885001778,966690908.145388,8342603851.03048
19-06-2020,0.190924360098,0.191168352665,0.186534019462,0.186789952279,1097387856.40662,8266913025.77957
18-06-2020,0.193454516299,0.193456975854,0.189625844344,0.190957333523,1045504279.36689,8451352166.47786
17-06-2020,0.191495758607,0.197300404179,0.190305948404,0.193443021032,1323161115.82109,8561363236.1069
16-06-2020,0.19306432616,0.19327030866,0.190028679484,0.191306860259,1158919075.32297,8466821452.11899
