t,o
2015-10-27,"{'c': 0.8836603772324391, 'h': 0.9104263480330671, 'l': 0.7148275917873681, 'o': 0.7168898509571081}"
2015-10-28,"{'c': 1.020403901553632, 'h': 1.0678574399540781, 'l': 0.8148165924536771, 'o': 0.886475206317849}"
2015-10-29,"{'c': 1.2209157426429331, 'h': 1.2209157426429331, 'l': 0.9456417921476981, 'o': 1.018157389035405}"
2015-10-30,"{'c': 1.042456729263871, 'h': 1.3570017109863581, 'l': 0.9604507314117571, 'o': 1.216626027557097}"
2015-10-31,"{'c': 0.905187862266523, 'h': 1.060285079722989, 'l': 0.8851943571175821, 'o': 1.045470296185678}"
2015-11-01,"{'c': 1.065070276233546, 'h': 1.083273186097134, 'l': 0.8805098344265321, 'o': 0.9075361787926991}"
2015-11-02,"{'c': 1.002164018037469, 'h': 1.110130964561979, 'l': 0.952916514696133, 'o': 1.065637864065369}"
2015-11-03,"{'c': 1.013402178925885, 'h': 1.093924558252432, 'l': 0.9442763535182441, 'o': 1.004771360124021}"
2015-11-04,"{'c': 0.8866473512808231, 'h': 1.046849060852968, 'l': 0.701225706212185, 'o': 1.009333358304384}"
2015-11-05,"{'c': 0.8912353618444511, 'h': 0.99470606365527, 'l': 0.8600398939363341, 'o': 0.895260704078589}"
2015-11-06,"{'c': 0.9352310325706221, 'h': 0.997473593905108, 'l': 0.848353302402971, 'o': 0.8936771807152011}"
2015-11-07,"{'c': 0.9299194631478691, 'h': 0.9554846374197911, 'l': 0.853894879175046, 'o': 0.9325935338569431}"
2015-11-08,"{'c': 1.029734611921348, 'h': 1.035097448766567, 'l': 0.910334404052844, 'o': 0.910334404052844}"
2015-11-09,"{'c': 0.9949840517089291, 'h': 1.115052592497234, 'l': 0.9375568576481751, 'o': 1.031805286952834}"
2015-11-10,"{'c': 0.9302331702268181, 'h': 1.047592343735743, 'l': 0.9123184461335251, 'o': 0.9982473219969111}"
2015-11-11,"{'c': 0.7802928915828461, 'h': 0.9457294355085891, 'l': 0.707117578766695, 'o': 0.936800916897315}"
2015-11-12,"{'c': 0.8990907371339151, 'h': 0.919311030717421, 'l': 0.7538445047285951, 'o': 0.782981641869769}"
2015-11-13,"{'c': 0.906731771199161, 'h': 0.929262875498546, 'l': 0.8457450451304721, 'o': 0.9134025892039621}"
2015-11-14,"{'c': 0.8925098305198691, 'h': 0.9075401646537721, 'l': 0.871939267494761, 'o': 0.9023016425608861}"
2015-11-15,"{'c': 0.910329096628627, 'h': 0.9253259557852631, 'l': 0.8734691368374661, 'o': 0.8951692732936991}"
2015-11-16,"{'c': 0.9300079949605571, 'h': 0.9532422413465621, 'l': 0.8902712624627661, 'o': 0.906297641509832}"
2015-11-17,"{'c': 1.009847648651842, 'h': 1.043603783538239, 'l': 0.910345152864888, 'o': 0.9198134355656201}"
2015-11-18,"{'c': 0.9855366463413531, 'h': 1.015937986132318, 'l': 0.937693679150547, 'o': 0.9954794835910751}"
2015-11-19,"{'c': 0.9562450205472711, 'h': 1.0130034037594, 'l': 0.932220844831091, 'o': 0.9879638534500681}"
2015-11-20,"{'c': 0.9290613271958591, 'h': 0.956408297279224, 'l': 0.8946081296061741, 'o': 0.9562450205472711}"
2015-11-21,"{'c': 0.9763729290981741, 'h': 0.980470819244125, 'l': 0.912775318912396, 'o': 0.932695124139792}"
2015-11-22,"{'c': 0.9659153456842071, 'h': 0.9850694535612071, 'l': 0.9524966130275281, 'o': 0.981228271405537}"
2015-11-23,"{'c': 0.9473873416007431, 'h': 0.9727233358721441, 'l': 0.924561453761862, 'o': 0.967422303385679}"
2015-11-24,"{'c': 0.8991214693001711, 'h': 0.949318377469153, 'l': 0.8953519201295671, 'o': 0.9473426026217611}"
2015-11-25,"{'c': 0.8635009747861021, 'h': 0.8999321364441141, 'l': 0.8461575941744931, 'o': 0.8964227818851501}"
2015-11-26,"{'c': 0.8830610871772471, 'h': 0.902814073331724, 'l': 0.8008379516092661, 'o': 0.8635009747861021}"
2015-11-27,"{'c': 0.8729466195164061, 'h': 0.9024769772166401, 'l': 0.849154643164389, 'o': 0.8821149025680101}"
2015-11-28,"{'c': 0.9069558530515961, 'h': 0.9347429242985221, 'l': 0.8609871474590991, 'o': 0.8686087225405831}"
2015-11-29,"{'c': 0.8714582861155311, 'h': 0.9108741547627821, 'l': 0.8522218879199851, 'o': 0.91010525100713}"
2015-11-30,"{'c': 0.871784397312183, 'h': 0.8881283402155121, 'l': 0.8382815218965091, 'o': 0.871497093530267}"
2015-12-01,"{'c': 0.8717654426749181, 'h': 0.899584718384089, 'l': 0.854735142765177, 'o': 0.869756305133437}"
2015-12-02,"{'c': 0.8204353796389471, 'h': 0.8819524514273611, 'l': 0.8148154417327891, 'o': 0.869869217895135}"
2015-12-03,"{'c': 0.8092850781296641, 'h': 0.837570777381704, 'l': 0.780614622900036, 'o': 0.8215568648022511}"
2015-12-04,"{'c': 0.8376179780292121, 'h': 0.8650915903849631, 'l': 0.7990962485627161, 'o': 0.8096312290086111}"
2015-12-05,"{'c': 0.8529478707796241, 'h': 0.8705563313766541, 'l': 0.8199728389737231, 'o': 0.838432629598392}"
2015-12-06,"{'c': 0.8292768536938201, 'h': 0.8758861349213071, 'l': 0.822141862665923, 'o': 0.854725183299972}"
2015-12-07,"{'c': 0.8005838265481571, 'h': 0.8449321313780541, 'l': 0.7776611055968901, 'o': 0.8294105019989151}"
2015-12-08,"{'c': 0.8231969394533131, 'h': 0.8231969394533131, 'l': 0.7769700420821191, 'o': 0.8026925308353721}"
2015-12-09,"{'c': 0.7898287800871391, 'h': 0.8165470224043381, 'l': 0.7658664144816141, 'o': 0.8165470224043381}"
2015-12-10,"{'c': 0.8421724278041071, 'h': 0.8676172226057851, 'l': 0.7803226329381621, 'o': 0.7898287800871391}"
2015-12-11,"{'c': 0.940812377968065, 'h': 0.940812377968065, 'l': 0.8217504995161201, 'o': 0.8410243079228971}"
2015-12-12,"{'c': 0.9762171727544671, 'h': 1.030703029049959, 'l': 0.9258871727247121, 'o': 0.929274396374923}"
2015-12-13,"{'c': 0.9564178911027971, 'h': 0.993641659650724, 'l': 0.9353676683477701, 'o': 0.9762171727544671}"
2015-12-14,"{'c': 0.9893259675390641, 'h': 1.013992805644362, 'l': 0.947751932138797, 'o': 0.9555820702118931}"
2015-12-15,"{'c': 1.008233448718347, 'h': 1.040203348602247, 'l': 0.9788632919478251, 'o': 0.9893259675390641}"
2015-12-16,"{'c': 0.9921008715574331, 'h': 1.019324020249119, 'l': 0.9727334720203541, 'o': 1.00930149890523}"
2015-12-17,"{'c': 0.945640928305828, 'h': 0.999438973012256, 'l': 0.9077609884390611, 'o': 0.999438973012256}"
2015-12-18,"{'c': 0.918514696581822, 'h': 0.943702011569833, 'l': 0.905408984120565, 'o': 0.943702011569833}"
2015-12-19,"{'c': 0.9002540985667751, 'h': 0.920189024365164, 'l': 0.8819065370264361, 'o': 0.9164793999978441}"
2015-12-20,"{'c': 0.8961211112824221, 'h': 0.9491761482942531, 'l': 0.894188370627896, 'o': 0.9002540985667751}"
2015-12-21,"{'c': 0.894153630879942, 'h': 0.9134158735395511, 'l': 0.883597937257361, 'o': 0.8961211112824221}"
2015-12-22,"{'c': 0.8656947899680081, 'h': 0.906274232112057, 'l': 0.8608639513789601, 'o': 0.891499518394248}"
2015-12-23,"{'c': 0.8475960104708451, 'h': 0.873220589213, 'l': 0.8443092938079291, 'o': 0.8607399887916841}"
2015-12-24,"{'c': 0.8612166813658281, 'h': 0.883132460814076, 'l': 0.84307815550937, 'o': 0.854827629084359}"
2015-12-25,"{'c': 0.871660329546963, 'h': 0.8819463477215631, 'l': 0.853892130551381, 'o': 0.857728978564061}"
2015-12-26,"{'c': 0.8595890865100471, 'h': 0.906662239277731, 'l': 0.8472279791716221, 'o': 0.870978838586361}"
2015-12-27,"{'c': 0.8512278021226961, 'h': 0.8733851064461721, 'l': 0.841440819139718, 'o': 0.8595890865100471}"
2015-12-28,"{'c': 0.843502817427323, 'h': 0.8770852461067471, 'l': 0.830068972835256, 'o': 0.853874697712226}"
2015-12-29,"{'c': 0.874630295409042, 'h': 0.874630295409042, 'l': 0.827125862980821, 'o': 0.84738292753178}"
2015-12-30,"{'c': 0.914376037743006, 'h': 0.951281836266416, 'l': 0.860580693803181, 'o': 0.874630295409042}"
2015-12-31,"{'c': 0.9321089963293021, 'h': 0.9917715023291741, 'l': 0.913658615376556, 'o': 0.916272828309259}"
2016-01-01,"{'c': 0.9422848690038801, 'h': 0.9556082149832261, 'l': 0.9239468627888281, 'o': 0.9318858540679991}"
2016-01-02,"{'c': 0.9352310773519611, 'h': 0.9668349965028971, 'l': 0.9329165304323831, 'o': 0.9395679597295981}"
2016-01-03,"{'c': 0.9739000731639451, 'h': 0.9918329628542141, 'l': 0.9276121577492671, 'o': 0.934601870614133}"
2016-01-04,"{'c': 0.9461480924825291, 'h': 0.9763837823799161, 'l': 0.9168855406743551, 'o': 0.967852016006122}"
2016-01-05,"{'c': 0.9530695854880911, 'h': 0.96782014916207, 'l': 0.9422541217176921, 'o': 0.9453978967502151}"
2016-01-06,"{'c': 0.953449068118386, 'h': 0.9650342571168021, 'l': 0.9360012616446911, 'o': 0.9530695854880911}"
2016-01-07,"{'c': 0.9436030098200341, 'h': 0.979810222528782, 'l': 0.9331721935314071, 'o': 0.95956998789418}"
2016-01-08,"{'c': 0.9892095640817821, 'h': 0.9921658886580961, 'l': 0.937590272148569, 'o': 0.9381274052120121}"
2016-01-09,"{'c': 0.9869234252575391, 'h': 1.000095162615943, 'l': 0.9714781108576551, 'o': 0.9892095640817821}"
2016-01-10,"{'c': 1.002572874043493, 'h': 1.010070105575494, 'l': 0.9726369934833281, 'o': 0.9857366703819811}"
2016-01-11,"{'c': 1.06355132446286, 'h': 1.076435709436228, 'l': 0.999239117395423, 'o': 0.999239117395423}"
2016-01-12,"{'c': 1.167405297323936, 'h': 1.295591229927076, 'l': 1.053993827066382, 'o': 1.070961947872964}"
2016-01-13,"{'c': 1.123329404086042, 'h': 1.155176518006119, 'l': 1.074448545700476, 'o': 1.136712209669991}"
2016-01-14,"{'c': 1.1921884812882, 'h': 1.203846216727676, 'l': 1.103218162782081, 'o': 1.123329404086042}"
2016-01-15,"{'c': 1.196404992871069, 'h': 1.324776340369739, 'l': 1.141957944510017, 'o': 1.19075532804646}"
2016-01-16,"{'c': 1.206682935952632, 'h': 1.301038412497211, 'l': 1.154055524356612, 'o': 1.207862694587465}"
2016-01-17,"{'c': 1.320453763913116, 'h': 1.320453763913116, 'l': 1.1929883386041111, 'o': 1.219211940855114}"
2016-01-18,"{'c': 1.4188710884001199, 'h': 1.533245193123083, 'l': 1.307775529693782, 'o': 1.32255900679063}"
2016-01-19,"{'c': 1.357560603552854, 'h': 1.447905612629693, 'l': 1.28716265505309, 'o': 1.41742066493395}"
2016-01-20,"{'c': 1.531316648059859, 'h': 1.6240013944624372, 'l': 1.339699469999811, 'o': 1.357328411771153}"
2016-01-21,"{'c': 1.5480606772398282, 'h': 1.5828953396753391, 'l': 1.478944328736413, 'o': 1.532112114786796}"
2016-01-22,"{'c': 1.508142890507989, 'h': 1.5827329059635842, 'l': 1.465060283258547, 'o': 1.5508321194901251}"
2016-01-23,"{'c': 1.9649792768168322, 'h': 2.051979231108304, 'l': 1.4997361712412531, 'o': 1.5087684925797409}"
2016-01-24,"{'c': 2.155134787771359, 'h': 2.295003897479383, 'l': 1.9104888007312941, 'o': 1.9104888007312941}"
2016-01-25,"{'c': 2.4928035428709823, 'h': 2.673939759886702, 'l': 2.060375996363673, 'o': 2.148334378028972}"
2016-01-26,"{'c': 2.261930684706117, 'h': 2.850918190990694, 'l': 1.954099248389539, 'o': 2.518991163674634}"
2016-01-27,"{'c': 2.403197956344677, 'h': 2.5859441821970712, 'l': 2.162379433505501, 'o': 2.253181740881652}"
2016-01-28,"{'c': 2.5291426450088, 'h': 2.686282919572974, 'l': 2.328488034676414, 'o': 2.403197956344677}"
2016-01-29,"{'c': 2.515380913011109, 'h': 2.619997870697661, 'l': 2.28169695673276, 'o': 2.5375322674369283}"
2016-01-30,"{'c': 2.4359908377198662, 'h': 2.614819269641565, 'l': 2.394791880429713, 'o': 2.511144256453232}"
2016-01-31,"{'c': 2.295792593081857, 'h': 2.533344877996215, 'l': 2.182308440393213, 'o': 2.431237527903806}"
2016-02-01,"{'c': 2.205558396134186, 'h': 2.300917815354803, 'l': 2.102586068459245, 'o': 2.300917815354803}"
2016-02-02,"{'c': 2.436596071689222, 'h': 2.442691063685049, 'l': 2.144302548464671, 'o': 2.21186624962959}"
2016-02-03,"{'c': 2.5201485431895048, 'h': 2.536189911890893, 'l': 2.332383759443451, 'o': 2.420378076419968}"
2016-02-04,"{'c': 2.5664219722279773, 'h': 2.6235326975633733, 'l': 2.416751550129172, 'o': 2.520449201166233}"
