t,o
2014-04-29,"{'c': 448, 'h': 453.338199522, 'l': 433.52473942999995, 'o': 441.356742492}"
2014-04-30,"{'c': 448.89941997000005, 'h': 452.312129564, 'l': 436.028669958, 'o': 447.41628303799996}"
2014-05-01,"{'c': 460.70126204400003, 'h': 464.872351892, 'l': 449.057372166, 'o': 449.057372166}"
2014-05-02,"{'c': 454.35562384599996, 'h': 462.491603938, 'l': 445.111250068, 'o': 461.91495017399996}"
2014-05-03,"{'c': 439.87207680600005, 'h': 454.09799999999996, 'l': 431.770679492, 'o': 452.8907404799999}"
2014-05-04,"{'c': 437.933060358, 'h': 441.81798608199995, 'l': 430.92225565000007, 'o': 439.28599999999994}"
2014-05-05,"{'c': 433, 'h': 444.164483096, 'l': 427.202371658, 'o': 435.88}"
2014-05-06,"{'c': 428.01000000000005, 'h': 433.59132480799997, 'l': 420.92136449, 'o': 433}"
2014-05-07,"{'c': 440.92028681400006, 'h': 451.47113523199994, 'l': 426.822853588, 'o': 429.17614832199996}"
2014-05-08,"{'c': 439.0813533279999, 'h': 449.52291083, 'l': 439.0813533279999, 'o': 441.10817764599994}"
2014-05-09,"{'c': 451.468934602, 'h': 456.78571272400006, 'l': 438.134854626, 'o': 439.75281136399997}"
2014-05-10,"{'c': 456.543988148, 'h': 458.26515683200006, 'l': 449.8, 'o': 452.686}"
2014-05-11,"{'c': 439.14571257999995, 'h': 457.8881193380001, 'l': 432.3220784399999, 'o': 457.8881193380001}"
2014-05-12,"{'c': 442.46349, 'h': 443.54957274199995, 'l': 434.31528967799994, 'o': 439.19608679000004}"
2014-05-13,"{'c': 439.10721898599996, 'h': 442.63507751, 'l': 433.573070088, 'o': 441.23306432399994}"
2014-05-14,"{'c': 445.75451883200003, 'h': 449.257811392, 'l': 438.93002497400005, 'o': 439.088}"
2014-05-15,"{'c': 446.33672478999995, 'h': 451.95166134199997, 'l': 445.076202948, 'o': 445.076202948}"
2014-05-16,"{'c': 447.269647738, 'h': 452.0035090519999, 'l': 445, 'o': 446.166}"
2014-05-17,"{'c': 450.0057898, 'h': 451.39, 'l': 445.86675678, 'o': 447.24370556}"
2014-05-18,"{'c': 446.898, 'h': 451.41, 'l': 445.04549233999995, 'o': 449.5597930299999}"
2014-05-19,"{'c': 448.17908049199997, 'h': 450, 'l': 444.01205328199995, 'o': 446.97323689200005}"
2014-05-20,"{'c': 489.19391193599995, 'h': 498.473003402, 'l': 447.14, 'o': 448.34}"
2014-05-21,"{'c': 493.694430672, 'h': 498.646, 'l': 487.95422734000005, 'o': 489.06641914600004}"
2014-05-22,"{'c': 529.49782271, 'h': 529.49782271, 'l': 492.652637112, 'o': 493.98972402400005}"
2014-05-23,"{'c': 523.491528154, 'h': 546.619101242, 'l': 521.2446474279999, 'o': 528.6459236359999}"
2014-05-24,"{'c': 528.214489126, 'h': 528.591661966, 'l': 515.6401281440001, 'o': 523.7643105180001}"
2014-05-25,"{'c': 573.07334608, 'h': 584.2706583639999, 'l': 528.22, 'o': 528.447801}"
2014-05-26,"{'c': 583.558250216, 'h': 591.141289622, 'l': 566.504673582, 'o': 573.8640161599999}"
2014-05-27,"{'c': 573.185524618, 'h': 593.424321314, 'l': 552.21107165, 'o': 582.770881972}"
2014-05-28,"{'c': 580.266611644, 'h': 582.2339070060001, 'l': 564.293549516, 'o': 573.6870336860001}"
2014-05-29,"{'c': 570.35, 'h': 581.7380530620001, 'l': 561.9181428180001, 'o': 581.308573808}"
2014-05-30,"{'c': 621.18, 'h': 627.650320102, 'l': 568.91, 'o': 572.37}"
2014-05-31,"{'c': 627.3743539159999, 'h': 628.450005546, 'l': 611.071525284, 'o': 621.4060000000001}"
2014-06-01,"{'c': 629.8553311400001, 'h': 680.867915922, 'l': 622.0778491, 'o': 627.7050929999999}"
